date,dlsales,dlincome,dunrate
2004-05-01,1.206264,0.497269,0.0
2004-06-01,-0.632363,0.061539,0.0
2004-07-01,0.822803,0.219983,-0.1
2004-08-01,-0.157014,0.302908,-0.1
2004-09-01,1.989764,0.044338,0.0
2004-10-01,0.323939,0.025707,0.1
2004-11-01,0.639756,-0.323145,-0.1
2004-12-01,1.287077,3.605701,0.0
2005-01-01,-1.052733,-3.780136,-0.1
2005-02-01,1.248431,0.022266,0.1
2005-03-01,0.267388,0.353813,-0.2
2005-04-01,0.898827,0.313649,0.0
2005-05-01,-0.576212,0.428126,-0.1
2005-06-01,3.006012,0.200632,-0.1
2005-07-01,0.682679,0.101922,0.0
2005-08-01,-1.162449,0.159702,-0.1
2005-09-01,0.296041,-0.35221,0.1
2005-10-01,0.045444,0.557168,0.0
2005-11-01,0.876908,0.6228,0.0
2005-12-01,0.051794,0.30475,-0.1
2006-01-01,2.833595,1.005744,-0.2
2006-02-01,-0.75874,0.436745,0.1
2006-03-01,0.384252,0.381232,-0.1
2006-04-01,0.491103,-0.026392,0.0
2006-05-01,-0.338503,-0.064733,-0.1
2006-06-01,0.544819,0.128572,0.0
2006-07-01,0.31905,-0.042555,0.1
2006-08-01,0.388259,-0.084313,0.0
2006-09-01,-0.580535,0.536176,-0.2
2006-10-01,-0.058382,0.453205,-0.1
2006-11-01,0.307473,0.4058,0.1
2006-12-01,1.200043,0.475263,-0.1
2007-01-01,-0.161481,-0.016726,0.2
2007-02-01,0.211417,0.328983,-0.1
2007-03-01,0.801725,0.325412,-0.1
2007-04-01,-0.237612,0.146962,0.1
2007-05-01,1.253538,0.05889,-0.1
2007-06-01,-0.788315,-0.054742,0.2
2007-07-01,0.425483,0.108625,0.1
2007-08-01,0.525471,0.037287,-0.1
2007-09-01,0.412154,0.154798,0.1
2007-10-01,0.585394,-0.076127,0.0
2007-11-01,0.935926,-0.085298,0.0
2007-12-01,-1.141134,0.416691,0.3
2008-01-01,0.21773,0.136864,0.0
