date,sp500,wti,eurusd
2018-08-08,-0.026241,-3.306937,0.008623
2018-08-09,-0.144276,-0.164511,-0.276291
2018-08-10,-0.71393,1.190313,-1.454413
2018-08-13,-0.4014,-0.533888,-0.026322
2018-08-14,0.636892,-0.312756,-0.395657
2018-08-15,-0.763126,-2.982584,-0.167526
2018-08-16,0.788828,0.567008,0.492959
2018-08-17,0.331763,0.745988,0.192999
2018-08-20,0.242502,0.860837,0.245098
2018-08-21,0.206643,1.225542,0.835805
2018-08-22,-0.039827,0.784202,0.527478
2018-08-23,-0.169266,1.86894,-0.241775
2018-08-24,0.617972,0.835499,0.500174
2018-08-27,0.764112,0.37228,0.43775
2018-08-28,0.026923,-2.064906,0.376133
2018-08-29,0.568524,1.649582,-0.179342
2018-08-30,-0.444012,0.814698,-0.454059
2018-08-31,0.013442,-0.58534,-0.430256
2018-09-04,-0.165568,-0.028641,-0.259045
2018-09-05,-0.280711,-1.631687,0.465799
2018-09-06,-0.365897,-1.289395,0.034417
2018-09-07,-0.221576,-0.118046,-0.448354
2018-09-10,0.189605,-0.266115,0.276148
2018-09-11,0.373286,2.543253,-0.112093
2018-09-12,0.03566,1.546644,0.301503
2018-09-13,0.526835,-2.54745,0.394884
2018-09-14,0.027543,0.552407,-0.137174
2018-09-17,-0.558531,-0.174115,0.265604
2018-09-18,0.535465,1.456091,0.051326
2018-09-19,0.125252,1.716963,-0.06844
2018-09-20,0.781,-0.437082,0.50365
2018-09-21,-0.036857,0.042382,-0.042584
2018-09-24,-0.352195,3.374617,0.289214
2018-09-25,-0.130593,0.231876,-0.025485
2018-09-26,-0.329467,-1.620692,-0.102006
2018-09-27,0.275947,-0.055402,-0.751241
2018-09-28,-0.000686,1.348582,-0.412159
2018-10-01,0.363446,2.976049,-0.474364
2018-10-02,-0.039672,-0.279014,-0.060535
2018-10-03,0.071124,1.636352,-0.303227
2018-10-04,-0.820307,-2.598926,-0.147614
2018-10-05,-0.55433,-0.242098,-0.052151
2018-10-09,-0.181411,0.924878,-0.174034
2018-10-10,-3.341633,-2.389906,0.512532
2018-10-11,-2.078765,-3.066491,0.207738
2018-10-12,1.410632,0.618066,-0.051894
2018-10-15,-0.592254,0.600351,0.302337
2018-10-16,2.126787,0.1252,-0.008626
2018-10-17,-0.025271,-3.249791,-0.458221
2018-10-18,-1.449652,-1.446575,-0.39941
2018-10-19,-0.036124,0.76929,0.165167
2018-10-22,-0.430874,0.130048,-0.400349
2018-10-23,-0.55271,-4.067158,0.113305
2018-10-24,-3.135083,0.105224,-0.795841
2018-10-25,1.845373,1.031322,-0.131793
2018-10-26,-1.747909,0.489506,0.123012
2018-10-29,-0.658123,-0.861946,0.017561
2018-10-30,1.554537,-1.231432,-0.228531
2018-10-31,1.079284,-1.323314,-0.281988
2018-11-01,1.050245,-2.543167,0.563183
2018-11-02,-0.63367,-0.867582,-0.158075
2018-11-05,0.558469,0.0,0.140523
2018-11-06,0.623983,-1.532597,0.157853
2018-11-07,2.09871,-0.758986,0.411001
2018-11-08,-0.251213,-1.601341,-0.375957
2018-11-09,-0.924156,-0.86022,-0.800321
2018-11-13,-2.138114,-7.87836,-0.327246
2018-11-14,-0.759624,0.948214,0.212389
2018-11-15,1.053808,0.515053,0.106026
2018-11-16,0.222081,0.070834,0.686441
2018-11-19,-1.678315,1.179072,0.402626
2018-11-20,-1.831796,-6.823089,-0.499147
2018-11-21,0.303865,1.89245,0.017556
2018-11-26,0.883655,-5.574315,-0.501563
2018-11-27,0.32564,-0.291914,-0.486361
2018-11-28,2.271401,-2.466338,0.044312
2018-11-29,-0.220011,2.758252,0.847014
2018-11-30,0.81522,-1.330223,-0.51971
2018-12-03,1.088193,4.241191,0.291018
2018-12-04,-3.290021,0.433186,-0.096912
2018-12-06,-0.152335,-3.188814,0.255293
2018-12-07,-2.359638,2.339512,0.140573
2018-12-10,0.176064,-3.255609,-0.193339
2018-12-11,-0.035643,1.129295,-0.476149
2018-12-12,0.540486,-1.188056,0.423356
2018-12-13,-0.019994,3.181605,-0.035211
2018-12-14,-1.927118,-2.751496,-0.511962
2018-12-17,-2.099228,-2.889574,0.344539
2018-12-18,0.008641,-7.676829,0.220235
2018-12-19,-1.551548,3.912063,0.509086
2018-12-20,-1.589779,-4.958281,0.087512
2018-12-21,-2.08032,-0.571305,-0.262766
2018-12-26,2.091667,1.44391,0.052609
2018-12-27,0.852618,-3.447093,0.035057
2018-12-28,-0.124232,1.495063,0.288752
2019-01-02,0.97243,2.536764,-0.771866
2019-01-03,-2.506828,1.30861,0.369134
2019-01-04,3.375938,1.774445,0.096453
2019-01-07,0.698598,1.062178,0.507038
2019-01-08,0.96486,2.677728,-0.209497
2019-01-09,0.408965,5.130338,0.696624
2019-01-10,0.450827,0.439729,-0.060761
2019-01-11,-0.014635,-1.887212,-0.330493
2019-01-15,0.539321,0.697407,-0.760792
2019-01-16,0.22195,0.539085,0.140351
2019-01-17,0.756278,-0.481187,-0.193033
2019-01-18,1.309691,3.357994,-0.211008
2019-01-22,-1.425845,-1.902308,-0.026407
2019-01-23,0.220047,-0.285633,0.27254
2019-01-24,0.137473,0.948954,-0.598804
2019-01-25,0.845289,1.108305,0.747947
2019-01-28,-0.787781,-3.304516,0.271394
2019-01-29,-0.145727,2.441472,-0.122474
2019-01-30,1.542959,2.070004,-0.052535
2019-01-31,0.856063,-0.629515,0.314796
2019-02-01,0.089823,2.657538,0.174459
2019-02-04,0.675335,-1.310778,-0.314246
2019-02-05,0.469743,-1.625752,-0.280161
2019-02-06,-0.222697,0.464555,-0.22821
2019-02-07,-0.940117,-2.363644,-0.202313
2019-02-08,0.067603,0.13279,-0.273333
2019-02-11,0.070879,-0.608483,-0.433571
2019-02-12,1.280788,1.345099,0.34524
2019-02-13,0.301941,1.308675,-0.247744
2019-02-14,-0.265515,1.034747,-0.035442
2019-02-15,1.081996,2.145927,-0.141894
2019-02-19,0.149765,0.966883,0.531069
2019-02-21,-0.175709,1.468143,0.088238
2019-02-22,0.639062,0.1053,0.035273
2019-02-25,0.123104,-3.009218,0.026447
2019-02-26,-0.07907,0.144509,0.255293
2019-02-27,-0.054419,2.706718,-0.035174
2019-02-28,-0.282955,0.508194,0.079124
2019-03-01,0.687167,-2.567194,-0.026368
2019-03-04,-0.388815,1.495222,-0.422834
2019-03-05,-0.113212,-0.088378,-0.247481
2019-03-06,-0.654549,-0.585264,0.176835
2019-03-07,-0.81589,0.673642,-0.940808
2019-03-08,-0.213401,-1.477289,0.258272
2019-03-11,1.455954,1.812416,-0.15132
2019-03-12,0.294898,0.175932,0.444406
2019-03-13,0.692558,2.39678,0.301072
2019-03-14,-0.086842,0.547665,-0.053064
2019-03-15,0.497252,-0.136635,0.194432
2019-03-18,0.369911,0.986403,0.097075
2019-03-19,-0.013061,0.050757,0.079355
2019-03-20,-0.294867,1.677329,0.052868
2019-03-21,1.079405,-0.233139,0.07925
2019-03-22,-1.915685,-1.867955,-0.69779
2019-03-25,-0.083943,-0.272155,0.371583
2019-03-26,0.715711,1.956547,-0.389312
2019-03-27,-0.46552,-0.804968,-0.266312
2019-03-28,0.358312,-0.16852,-0.124522
2019-03-29,0.671172,1.506557,-0.071225
2019-04-01,1.150218,2.299329,-0.160442
2019-04-02,0.001744,1.514692,-0.214324
2019-04-03,0.21461,-0.112009,0.499377
2019-04-04,0.208247,-0.545835,-0.231543
2019-04-05,0.462568,1.565277,0.008915
2019-04-08,0.10469,1.992692,0.400374
2019-04-09,-0.608595,-0.498366,0.14197
2019-04-10,0.347183,0.885993,-0.106458
2019-04-11,0.003809,-1.575327,-0.035511
2019-04-12,0.658763,0.39225,0.372242
2019-04-15,-0.062962,-0.675625,0.0
2019-04-16,0.050924,0.910239,-0.097358
2019-04-17,-0.227636,-0.422701,0.035414
2019-04-18,0.157782,0.438323,-0.49694
2019-04-22,0.101153,2.529438,0.151118
2019-04-23,0.880236,0.87946,-0.400517
2019-04-24,-0.219419,-0.423601,-0.187458
2019-04-25,-0.036902,-1.112901,-0.4657
2019-04-26,0.467436,-3.019215,0.125594
2019-04-29,0.10709,0.157878,0.107527
2019-04-30,0.095095,0.691718,0.312961
2019-05-01,-0.753041,-0.43963,0.400945
2019-05-02,-0.212626,-2.873302,-0.552832
2019-05-03,0.959217,0.371778,0.017881
2019-05-06,-0.448104,0.514967,0.098289
2019-05-07,-1.664952,-1.438874,-0.169832
2019-05-08,-0.160667,1.165628,0.250179
2019-05-09,-0.302602,-0.889182,0.196131
2019-05-10,0.371342,0.113609,0.115715
2019-05-13,-2.442654,-1.109129,-0.080096
2019-05-14,0.798406,1.3845,-0.222826
2019-05-15,0.582198,0.33912,0.008923
2019-05-16,0.885592,1.440486,-0.268025
2019-05-17,-0.585442,-0.254575,-0.107411
2019-05-20,-0.677224,0.556042,0.035817
2019-05-21,0.84599,-0.158554,-0.107488
2019-05-22,-0.282836,-2.571662,-0.017926
2019-05-23,-1.198568,-6.334527,0.143318
2019-05-24,0.135262,1.292564,0.223524
2019-05-28,-0.841089,0.869497,-0.178779
2019-05-29,-0.693596,-0.118896,-0.367499
2019-05-30,0.209624,-4.111237,0.035913
2019-05-31,-1.328319,-5.42148,0.080757
2019-06-03,-0.276903,-0.449692,0.509954
2019-06-04,2.12059,0.468385,0.267356
2019-06-05,0.812877,-3.674155,0.053386
2019-06-06,0.611681,1.958588,0.461485
2019-06-07,1.044295,2.55317,0.265276
2019-06-10,0.464926,-1.155867,-0.114866
2019-06-11,-0.034994,-0.056269,0.044195
2019-06-12,-0.20397,-4.156492,-0.053036
2019-06-13,0.408908,2.415343,-0.30994
2019-06-14,-0.161284,0.171674,-0.51574
2019-06-17,0.093134,-1.015237,0.160342
2019-06-18,0.967046,3.629888,-0.347733
2019-06-19,0.298073,-0.223048,0.160643
2019-06-20,0.942762,5.678618,0.62228
2019-06-21,-0.126003,0.822906,0.389174
2019-06-24,-0.173343,0.660413,0.572159
2019-06-25,-0.95417,-0.17337,-0.06146
2019-06-26,-0.123475,2.637139,0.035125
2019-06-27,0.381592,0.016899,-0.158158
2019-06-28,0.574091,-1.669829,0.017586
2019-07-01,0.7643,1.21255,-0.590805
2019-07-02,0.292387,-5.065916,-0.053079
2019-07-03,0.764308,1.875166,-0.230333
2019-07-08,-0.665467,0.50695,-0.596008
2019-07-09,0.123582,0.382876,0.017843
2019-07-10,0.450048,4.599878,0.445039
2019-07-11,0.228267,-0.582316,0.008881
2019-07-12,0.46095,0.100067,-0.062181
2019-07-15,0.017584,-1.156858,0.0533
2019-07-16,-0.340958,-3.186838,-0.427199
2019-07-17,-0.655263,-1.650029,0.178221
2019-07-18,0.357554,-2.545396,-0.035619
2019-07-19,-0.619589,0.615387,-0.071276
2019-07-22,0.282473,0.808702,-0.05349
2019-07-23,0.682416,1.2628,-0.518553
2019-07-24,0.467716,-1.209119,-0.134547
2019-07-25,-0.527625,-0.035785,0.134547
2019-07-26,0.736047,0.285919,-0.314226
2019-07-29,-0.161738,1.43505,0.188654
2019-07-30,-0.258197,2.071621,0.053836
2019-07-31,-1.094519,0.840702,-0.161594
2019-08-01,-0.903959,-8.724438,-0.612835
2019-08-02,-0.730939,3.714634,0.450979
